 Time in recording [s],#192_F_Querlnk_hl_mR [kN]
0,0
0.002,0.00232469
0.004,0.00464938
0.006,0.00774897
0.008,0.0100737
0.01,0.0123984
0.012,0.0147231
0.014,0.0170477
0.016,0.0193724
0.018,0.0216971
0.02,0.0240218
0.022,0.0255716
0.024,0.0278963
0.026,0.0294461
0.028,0.0317708
0.03,0.0333206
0.032,0.0348704
0.034,0.0371951
0.036,0.0387449
0.038,0.0402947
0.04,0.0418445
0.042,0.0433943
0.044,0.044944
0.046,0.0464938
0.048,0.0480436
0.05,0.0488185
0.052,0.0503683
0.054,0.0519181
0.056,0.0534679
0.058,0.0550177
0.06,0.0557926
0.062,0.0573424
0.064,0.0588922
0.066,0.060442
0.068,0.0612169
0.07,0.0627667
0.072,0.0643165
0.074,0.0650914
0.076,0.0666412
0.078,0.0674161
0.08,0.0689659
0.082,0.0705157
0.084,0.0712906
0.086,0.0728404
0.088,0.0743902
0.09,0.0759399
0.092,0.0767148
0.094,0.0782646
0.096,0.0798144
0.098,0.0805893
0.1,0.0821391
0.102,0.082914
0.104,0.0844638
0.106,0.0852387
0.108,0.0867885
0.11,0.0883383
0.112,0.0898881
0.114,0.0914379
0.116,0.0922128
0.118,0.0937626
0.12,0.0945375
0.122,0.0960873
0.124,0.0968622
0.126,0.0976371
0.128,0.098412
0.13,0.0999618
0.132,0.100737
0.134,0.102286
0.136,0.103836
0.138,0.105386
0.14,0.106936
0.142,0.108486
0.144,0.110035
0.146,0.111585
0.148,0.11236
0.15,0.113135
0.152,0.114685
0.154,0.11546
0.156,0.11701
0.158,0.118559
0.16,0.120109
0.162,0.121659
0.164,0.123209
0.166,0.124758
0.168,0.126308
0.17,0.127858
0.172,0.129408
0.174,0.130183
0.176,0.131733
0.178,0.132507
0.18,0.134057
0.182,0.134832
0.184,0.137157
0.186,0.138707
0.188,0.140256
0.19,0.142581
0.192,0.144906
0.194,0.146456
0.196,0.148005
0.198,0.149555
0.2,0.15033
0.202,0.15188
0.204,0.152655
0.206,0.154205
0.208,0.155754
0.21,0.157304
0.212,0.159629
0.214,0.161954
0.216,0.164278
0.218,0.166603
0.22,0.168153
0.222,0.169703
0.224,0.171252
0.226,0.172027
0.228,0.172802
